dtype,family,maximum,minimum,missing,mode_fraction,model_utility,name,positive_gain_fold_fraction,status,unique_values,univariate_utility,definition,availability,final_selected,final_reason,correlation_clicks,correlation_carts,correlation_orders,duplicate_of,correlation,redundant_with
float32,graph,880.41015625,0.0,0,0.9968366558822442,0.0,graph_time_orders_n20_position_std,0.0,capacity,1446,0.009757365506231368,"std of time graph affinity from last 20 observed events restricted to orders, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.00035838028268792374,0.0026017664733384697,0.01490166255993506,,,
float32,graph,3251.0400390625,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_hour_sum,0.0,capacity,3524,0.007352015212747583,"sum of time graph affinity from last 20 observed events restricted to orders, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.001232105381699639,-0.00013717283976721293,0.011979421371079093,,,
float32,graph,3251.0400390625,0.0,0,0.9926850099122007,1.8139716656353717e-07,graph_time_orders_n20_hour_max,0.3333333333333333,capacity,3515,0.005255570915291997,"max of time graph affinity from last 20 observed events restricted to orders, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0011036705944604402,-0.00018231748996863623,0.008484181014758937,,,
float32,graph,3394.464599609375,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_hour_mean,0.0,capacity,3512,0.002189735546917576,"mean of time graph affinity from last 20 observed events restricted to orders, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0015464680999903652,-0.0006766556432840868,0.0030534867398888557,,,
float32,graph,863.3053588867188,0.0,0,0.9967744006474545,0.0,graph_time_orders_n20_hour_std,0.0,capacity,1483,0.010115622551131387,"std of time graph affinity from last 20 observed events restricted to orders, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.00014150530673845895,0.002637703882415391,0.015516934759554873,,,
float32,graph,3370.12841796875,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_six_hours_sum,0.0,capacity,3524,0.007048599063051394,"sum of time graph affinity from last 20 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0014274777687768112,0.00019915645655736906,0.011410173915344171,,,
float32,graph,3370.12841796875,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_six_hours_max,0.0,capacity,3515,0.005005874363045039,"max of time graph affinity from last 20 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.001303617075102668,0.00015341648623217472,0.0080491461827752,,,
float32,graph,3394.464599609375,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_six_hours_mean,0.0,capacity,3501,0.0021062587753350637,"mean of time graph affinity from last 20 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0016836005402015074,-0.0007829990887000534,0.0028383316578414947,,,
float32,graph,863.3052978515625,0.0,0,0.9969436570670391,0.0,graph_time_orders_n20_six_hours_std,0.0,capacity,1416,0.009992239212771665,"std of time graph affinity from last 20 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.0003648688144369732,0.002580424757639649,0.015302708173393454,,,
float32,graph,3394.464599609375,0.0,0,0.9926324820578468,0.0,graph_time_orders_n50_uniform_sum,0.0,capacity,3488,0.005615586614789149,"sum of time graph affinity from last 50 observed events restricted to orders, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0016070823829385109,-0.00010602767261477186,0.009038450124518111,,,
